% This MetaLexicon was created by taking the union of the following manually created lexical resources:
%
%   1. AFINN
%   2. NRC Word-Emotion Association Lexicon (words with no emotion associations are taken as neutral)
%   3. Bing Liu's Opinion Lexicon
%   4. MPQA Subjectivity Lexicon
%
% We discarded all the words where a polarity clash between two or more lexicons was observed.

@relation 'MetaLex'

@attribute term string
@attribute polarity {negative,neutral,positive}

@data
clump,negative
clumsy,negative
clunky,negative
cluster,neutral
clutch,neutral
clutches,neutral
clutter,neutral
co-operation,positive
coagulation,neutral
coal,neutral
coalition,positive
coarse,negative
coast,positive
coastal,neutral
coaster,neutral
coat,neutral
coating,neutral
coax,positive
cobalt,neutral
cobble,neutral
cobbler,neutral
cocaine,negative
cockpit,neutral
cocksucker,negative
cocksuckers,negative
cocktail,neutral
cocky,negative
cocoa,neutral
cocoon,neutral
cod,neutral
coddle,positive
code,neutral
codex,neutral
codification,neutral
codify,neutral
coefficient,neutral
coerce,negative
coerced,negative
coercion,negative
coexist,positive
coexistence,neutral
coffee,neutral
coffin,negative
cog,neutral
cogent,positive
cogitate,neutral
cognate,neutral
cognition,neutral
cognitive,positive
cognizance,neutral
cognizant,neutral
cohabitation,neutral
cohere,positive
coherence,positive
coherent,positive
cohesion,positive
cohesive,positive
cohort,neutral
coil,neutral
coiled,neutral
coin,neutral
coinage,neutral
coincide,neutral
coincident,neutral
coinciding,neutral
coke,neutral
cold,negative
coldly,negative
coldness,negative
colic,negative
collapse,negative
collapsed,negative
collapses,negative
collapsing,negative
collar,neutral
collate,neutral
collation,neutral
colleague,neutral
collect,neutral
collected,neutral
collection,neutral
collective,neutral
collectively,positive
collector,neutral
college,neutral
collegiate,neutral
collides,negative
colliding,negative
collie,neutral
collision,negative
collisions,negative
collocation,neutral
colloquial,neutral
collude,negative
colluding,negative
collusion,negative
colon,neutral
colonel,positive
colonial,neutral
colony,neutral
colophon,neutral
color,neutral
coloration,neutral
colored,neutral
colorful,positive
coloring,neutral
colorless,neutral
colors,neutral
colossal,positive
colt,neutral
column,neutral
columnar,neutral
coma,negative
comatose,negative
comb,neutral
combat,negative
combatant,negative
combative,negative
combats,negative
combination,neutral
combinatorial,neutral
combine,neutral
combined,neutral
combust,negative
combustible,neutral
combustion,neutral
comeback,positive
comely,positive
comet,neutral
comfort,positive
comfortable,positive
comfortably,positive
comforter,neutral
comforting,positive
comforts,positive
comfy,positive
comic,neutral
comma,neutral
command,neutral
commandant,positive
commander,neutral
commanding,positive
commemorate,positive
commemoration,positive
commemorative,positive
commence,neutral
commend,positive
commendable,positive
commendably,positive
commended,positive
comment,neutral
commentary,neutral
commercial,neutral
commiserate,negative
commissary,neutral
commissioner,neutral
commitment,positive
commits,positive
committal,negative
committed,positive
committing,positive
commodious,positive
commodity,neutral
commodore,positive
common,neutral
commonly,neutral
commonplace,negative
commons,neutral
commonsense,positive
commonsensible,positive
commonsensibly,positive
commonsensical,positive
commonwealth,positive
commotion,negative
commotions,negative
commune,neutral
communicable,neutral
communicate,positive
communicative,positive
communion,positive
communism,negative
communist,negative
community,positive
commutation,positive
commutative,neutral
commute,positive
commuter,neutral
compact,positive
compaction,neutral
compactly,positive
compactness,neutral
companion,positive
companionship,neutral
company,neutral
comparable,neutral
comparative,neutral
comparatively,neutral
comparison,neutral
compartment,neutral
compassion,positive
compassionate,positive
compatibility,positive
compatible,positive
compelling,positive
compendium,neutral
compensate,positive
compensation,neutral
compensatory,positive
competence,positive
competency,positive
competent,positive
competition,negative
competitiveness,positive
competitor,neutral
compilation,neutral
compile,neutral
complacency,positive
complain,negative
complained,negative
complaining,negative
complains,negative
complaint,negative
complaints,negative
complement,positive
complementary,positive
complemented,positive
complements,positive
complete,neutral
completed,neutral
completeness,positive
completing,positive
completion,positive
complexed,negative
complexion,neutral
complexity,negative
compliance,positive
compliant,positive
complicate,negative
complicated,negative
complication,negative
complicit,negative
compliment,positive
complimentary,positive
comply,neutral
complying,neutral
compo,neutral
component,neutral
compose,neutral
composed,positive
composer,positive
composite,neutral
composition,neutral
compost,negative
composure,positive
compound,neutral
comprehension,neutral
comprehensive,positive
compressed,neutral
compressible,neutral
compression,neutral
comprise,neutral
compromises,positive
compulsion,negative
compulsive,negative
compulsory,negative
computable,neutral
computation,neutral
compute,neutral
computer,neutral
comrade,positive
comrades,positive
con,neutral
concatenation,neutral
concave,neutral
conceal,negative
concealed,negative
concealment,negative
concede,negative
conceded,negative
conceit,negative
conceited,negative
concen,negative
concens,negative
concentrate,neutral
concentration,neutral
concentric,positive
conception,neutral
concerned,negative
concerning,neutral
concerns,negative
concert,neutral
concerted,neutral
concessional,neutral
concessions,negative
concierge,neutral
conciliate,positive
conciliated,positive
conciliates,positive
conciliating,positive
conciliation,positive
conciliatory,positive
conclave,neutral
conclude,neutral
concluding,positive
conclusion,neutral
conclusive,positive
concoction,neutral
concomitant,neutral
concord,positive
concordance,positive
concours,neutral
concourse,neutral
concur,positive
concurrence,neutral
concurrent,neutral
concurring,neutral
concussion,negative
condemn,negative
condemnable,negative
condemnation,negative
condemned,negative
condemns,negative
condensation,neutral
condensed,neutral
condescend,negative
condescending,negative
condescendingly,negative
condescension,negative
condiment,neutral
condition,neutral
conditional,neutral
conditionally,neutral
conditioned,neutral
conditions,neutral
condolences,negative
condone,positive
conducive,positive
conduct,neutral
conduction,neutral
conductivity,positive
conductor,neutral
conduit,neutral
cone,neutral
confederate,positive
confederation,neutral
conference,neutral
confession,negative
confide,neutral
confidence,positive
confident,positive
configuration,neutral
confine,negative
confined,negative
confinement,negative
confines,neutral
confirm,neutral
confirmatory,neutral
confirmed,positive
confiscate,negative
confiscation,negative
conflagration,negative
conflict,negative
conflicted,negative
conflicting,negative
conflictive,negative
conflicts,negative
confluence,neutral
conformance,positive
conformation,neutral
confound,negative
confounded,negative
confounding,negative
confront,negative
confrontation,negative
confrontational,negative
confuse,negative
confused,negative
confuses,negative
confusing,negative
confusion,negative
confusions,negative
confute,positive
congenial,positive
congenital,neutral
congested,negative
congestion,negative
conglomeration,neutral
congrats,positive
congratulate,positive
congratulation,positive
congratulations,positive
congratulatory,positive
congregate,neutral
congregation,positive
congressional,neutral
congruence,positive
conic,neutral
conical,neutral
conjecture,neutral
conjugal,neutral
conjugate,neutral
conjugation,neutral
conjunction,neutral
conjunctive,neutral
conjuring,negative
connect,neutral
connected,neutral
connection,neutral
connoisseur,positive
conqueror,neutral
conquest,negative
cons,negative
conscience,positive
conscientious,positive
conscons,negative
conscription,neutral
consecration,positive
consecutive,neutral
consensus,positive
consenting,neutral
consents,positive
consequence,neutral
consequently,neutral
conservation,positive
conservatism,neutral
conservatory,neutral
conserve,positive
consider,neutral
considerably,neutral
considerate,positive
consideration,neutral
consignee,neutral
consignment,neutral
consistency,positive
consistently,positive
consolable,positive
consolation,neutral
console,positive
consolidate,neutral
consolidation,neutral
consonant,positive
conspicuously,negative
conspiracies,negative
conspiracy,negative
conspirator,negative
conspiratorial,negative
conspire,negative
constancy,positive
constant,positive
constellation,neutral
consternation,negative
constipation,negative
constituent,neutral
constituents,neutral
constitution,neutral
constitutional,positive
constitutionality,neutral
constitutions,neutral
constrain,negative
constrained,negative
constraint,negative
construct,positive
construction,neutral
constructive,positive
construe,neutral
consultation,neutral
consuming,neutral
consummate,positive
consummation,neutral
consumption,neutral
contact,positive
contagion,negative
contagions,negative
contagious,negative
containment,neutral
contaminate,negative
contaminated,negative
contaminates,negative
contaminating,negative
contamination,negative
contemplate,neutral
contemplation,positive
contemplative,neutral
contemporaneous,neutral
contemporary,neutral
contempt,negative
contemptible,negative
contemptuous,negative
contemptuously,negative
contend,negative
contender,negative
content,positive
contentious,negative
contentment,positive
contents,neutral
contestable,negative
context,neutral
contiguous,neutral
continence,neutral
continent,neutral
continental,neutral
contingency,neutral
continual,neutral
continually,neutral
continuance,neutral
continue,positive
continued,neutral
continuing,neutral
continuous,neutral
continuously,neutral
contort,negative
contortions,negative
contour,positive
contraband,negative
contract,neutral
contracted,negative
contractile,neutral
contracting,neutral
contraction,neutral
contradict,negative
contradiction,negative
contradictory,negative
contrariness,negative
contrary,negative
contrast,neutral
contrasted,negative
contrasty,positive
contravene,negative
contravention,negative
contribute,positive
contribution,positive
contributor,positive
contrive,negative
control,neutral
controversial,negative
controversially,negative
controversy,negative
conundrum,neutral
convalescent,neutral
convection,neutral
convene,neutral
convenience,positive
conveniences,neutral
convenient,positive
conveniently,positive
convent,positive
convention,positive
conventional,neutral
converge,neutral
convergent,neutral
conversant,positive
conversation,neutral
conversational,positive
converse,neutral
conversing,neutral
conversion,neutral
convert,positive
converted,neutral
convertible,neutral
convex,neutral
convexity,neutral
convey,neutral
conveyance,neutral
convict,negative
convience,positive
convienient,positive
convient,positive
convince,positive
convinced,positive
convinces,positive
convincing,positive
convincingly,positive
convivial,positive
convocation,neutral
convolution,neutral
convoy,neutral
coo,neutral
cook,neutral
cookery,neutral
cooking,neutral
cool,positive
'cool stuff',positive
cooler,neutral
coolest,positive
cooling,neutral
coolness,positive
coop,negative
cooperate,positive
cooperating,positive
cooperation,positive
cooperative,positive
cooperatively,positive
coordinate,neutral
coping,negative
copious,neutral
copper,neutral
copy,negative
copycat,negative
copying,neutral
copyright,neutral
coral,neutral
cord,neutral
cordial,positive
cordon,neutral
corduroy,neutral
core,positive
cork,neutral
corkscrew,neutral
corn,neutral
cornea,neutral
corner,neutral
cornered,negative
cornerstone,positive
cornet,neutral
cornice,neutral
cornstarch,neutral
corollary,neutral
corona,neutral
coronation,positive
coroner,negative
corporal,negative
corporate,neutral
corporation,positive
corporeal,positive
corps,neutral
corpse,negative
corpus,neutral
corral,neutral
correct,positive
correction,negative
correctly,positive
correlation,neutral
correlative,neutral
correspond,neutral
correspondence,positive
correspondent,neutral
corridor,neutral
corroborate,positive
corrode,negative
corrosion,negative
corrosions,negative
corrosive,negative
corrupt,negative
corrupted,negative
corrupting,negative
corruption,negative
corrupts,negative
corruptted,negative
corset,neutral
cortex,neutral
cortical,neutral
corvette,neutral
cosmetic,neutral
cosmetics,neutral
cosmic,neutral
cosmology,neutral
cosmopolitan,positive
cosmos,neutral
cost,neutral
cost-effective,positive
cost-saving,positive
costlier,negative
costume,neutral
cosy,positive
cot,neutral
cote,neutral
cottage,neutral
cotton,neutral
cougar,neutral
cough,negative
could,neutral
council,positive
counsel,positive
counsellor,negative
counselor,positive
count,positive
countenance,neutral
counter,neutral
counter-attack,positive
counter-attacks,positive
counter-productive,negative
counteract,neutral
counterbalance,neutral
counterclaim,neutral
counterpart,neutral
counterproductive,negative
countess,positive
countless,neutral
country,neutral
counts,neutral
coupists,negative
couple,neutral
coupled,neutral
coupon,neutral
courage,positive
courageous,positive
courageously,positive
courageousness,positive
courses,neutral
coursing,negative
court,positive
courteous,positive
courtesy,positive
courthouse,neutral
courtly,positive
courts,neutral
courtship,positive
courtyard,neutral
cove,positive
covenant,positive
cover-up,negative
covered,neutral
covering,neutral
covert,neutral
covet,negative
covetous,negative
coward,negative
cowardice,negative
cowardly,negative
cowboy,neutral
cowhide,neutral
cowl,neutral
coworker,neutral
coziness,positive
cozy,positive
crab,neutral
crabby,negative
crack,negative
crackdown,negative
cracked,negative
cracker,neutral
cracking,negative
crackle,neutral
cracks,negative
cradle,positive
craft,positive
craftily,negative
craftly,negative
craftsman,positive
craig,neutral
crammed,neutral
cramp,negative
cramped,negative
cramping,negative
crane,neutral
cranium,neutral
crank,negative
cranky,negative
crap,negative
crappy,negative
craps,negative
crash,negative
crashed,negative
crashes,negative
crashing,negative
crass,negative
crate,neutral
crater,neutral
crave,positive
craven,negative
cravenly,negative
craving,positive
crawfish,neutral
crawl,negative
crayons,neutral
crazed,negative
crazier,negative
craziest,negative
crazily,negative
craziness,negative
crazy,negative
creak,negative
creaking,negative
creaks,negative
cream,positive
creamer,neutral
creamy,neutral
crease,neutral
create,positive
creation,neutral
creative,positive
creator,neutral
creature,negative
credence,positive
credential,positive
credentials,neutral
credibility,positive
credible,positive
credit,positive
creditable,positive
credited,positive
crediting,neutral
creditor,neutral
credulous,negative
creed,neutral
creek,neutral
creep,negative
creeping,negative
creeps,negative
creepy,negative
creole,neutral
crept,negative
crescendo,positive
crescent,neutral
crestfallen,negative
crevice,neutral
crib,neutral
cricket,neutral
cried,negative
cries,negative
crime,negative
criminal,negative
criminality,negative
criminals,negative
crimp,neutral
crimson,neutral
cringe,negative
cringed,negative
cringes,negative
cripple,negative
crippled,negative
cripples,negative
crippling,negative
crisis,negative
crisper,positive
criterion,neutral
critic,negative
critical,negative
criticism,negative
criticisms,negative
criticize,negative
criticized,negative
criticizes,negative
criticizing,negative
critics,negative
critique,positive
croak,neutral
crock,neutral
crockery,neutral
croft,neutral
cronyism,negative
crook,negative
crooked,negative
crooks,negative
crop,neutral
croquet,neutral
cross,negative
crossbow,neutral
crossed,neutral
crossing,neutral
crotch,neutral
crouched,neutral
crouching,negative
croupier,neutral
crow,neutral
crowd,neutral
crowdedness,negative
crown,neutral
crowning,positive
crucial,positive
cruciate,negative
crucifix,neutral
crucifixion,negative
crude,negative
cruel,negative
crueler,negative
cruelest,negative
cruelly,negative
cruelness,negative
cruelties,negative
cruelty,negative
cruise,neutral
cruiser,neutral
crumb,neutral
crumble,negative
crumbling,negative
crummy,negative
crumple,negative
crumpled,negative
crumples,negative
crunch,negative
crusader,positive
crushed,negative
crushes,negative
crushing,negative
crust,neutral
crusty,negative
crutch,neutral
crux,neutral
cry,negative
crying,negative
crypt,negative
cryptic,neutral
cryptography,neutral
crystal,positive
crystalline,neutral
crystallization,neutral
cub,neutral
cubicle,neutral
cuckold,negative
cuckoo,negative
cuddle,positive
cuff,neutral
cuisine,neutral
culinary,positive
cull,negative
culminate,neutral
culmination,positive
culpability,negative
culpable,negative
culprit,negative
cult,negative
cultivate,positive
cultivated,positive
cultivation,positive
culture,positive
culvert,neutral
cumbersome,negative
cumulus,neutral
cunt,negative
cunts,negative
cup,neutral
cupboard,neutral
cuplrit,negative
cupping,negative
cur,negative
curable,positive
curate,neutral
curative,neutral
curator,neutral
curb,neutral
curd,neutral
cure,positive
cure-all,positive
curfew,neutral
curiosity,positive
curious,positive
curiously,positive
curl,positive
curling,neutral
currency,neutral
current,neutral
curriculum,neutral
curry,neutral
curse,negative
cursed,negative
curses,negative
cursing,negative
cursory,negative
curtail,neutral
curtailment,neutral
curtain,neutral
curvature,neutral
curve,neutral
curved,neutral
curvilinear,neutral
cushion,positive
cushy,positive
cusp,neutral
cuss,negative
cussed,negative
custom,neutral
customary,neutral
customer,positive
cutaneous,neutral
cute,positive
cuteness,positive
cuticle,neutral
cutlery,neutral
cuts,negative
cutter,negative
cutters,positive
cutthroat,negative
cutting,negative
cuttings,neutral
cwt,neutral
cyanide,negative
cycle,neutral
cyclical,neutral
cyclist,neutral
cyclone,negative
cylinder,neutral
cylindrical,neutral
cymbal,neutral
cynical,negative
cynicism,negative
cyst,negative
cytomegalovirus,negative
cytoplasm,neutral
czar,neutral
d*mn,negative
dab,neutral
dabble,neutral
dabbling,negative
dad,neutral
dado,neutral
daemon,negative
daft,negative
dagger,negative
dainty,neutral
dairy,neutral
dak,neutral
dale,neutral
dam,neutral
damage,negative
damaged,negative
damages,negative
damaging,negative
dame,positive
damn,negative
damnable,negative
damnably,negative
damnation,negative
damned,negative
damning,negative
damnit,negative
damp,neutral
dampened,neutral
damper,negative
damsel,neutral
dance,positive
dancer,neutral
dandruff,negative
dandy,negative
danger,negative
dangerous,negative
dangerousness,negative
danke,positive
danken,positive
dapper,neutral
dare,positive
daredevil,positive
daring,positive
daringly,positive
dark,negative
darken,negative
darkened,negative
darker,negative
darkest,negative
darkly,neutral
darkness,negative
darling,positive
dashboard,neutral
dashed,negative
dashing,positive
dastard,negative
dastardly,negative
data,neutral
database,neutral
date,neutral
daughter,positive
daunt,negative
daunting,negative
dauntingly,negative
dauntless,positive
dawdle,negative
dawn,positive
day,neutral
daybreak,neutral
daydream,positive
daydreamer,positive
daydreaming,neutral
dazed,negative
dazzle,positive
dazzled,positive
deactivate,negative
dead,negative
dead-cheap,positive
dead-on,positive
deadbeat,negative
deadlock,negative
deadly,negative
deadweight,negative
deaf,negative
deafness,neutral
deal,positive
dealer,neutral
dealing,neutral
dean,neutral
dear,positive
dearly,positive
death,negative
debacle,negative
debase,negative
debasement,negative
debaser,negative
debauch,negative
debaucher,negative
debauchery,negative
debilitate,negative
debilitating,negative
debility,negative
debit,neutral
debonair,positive
debris,negative
debt,negative
debtor,negative
debts,negative
debut,neutral
decade,neutral
decadence,negative
decadent,negative
decanter,neutral
decay,negative
decayed,negative
deceased,negative
deceit,negative
deceitful,negative
deceitfully,negative
deceitfulness,negative
deceive,negative
deceived,negative
deceiver,negative
deceivers,negative
deceives,negative
deceiving,negative
decency,positive
decent,positive
deception,negative
deceptive,negative
deceptively,negative
decide,neutral
decidedly,neutral
deciduous,neutral
decimal,neutral
decipher,neutral
decision,neutral
decisiveness,positive
deck,neutral
declaim,negative
declaration,neutral
declaratory,positive
declare,neutral
declination,negative
decline,negative
declines,negative
declining,negative
decomposition,negative
decorate,neutral
decoration,neutral
decorum,neutral
decrease,negative
decreased,neutral
decree,neutral
decrement,negative
decrepit,negative
decrepitude,negative
decry,negative
dedicated,positive
dedication,positive
deduce,neutral
deduct,negative
deduction,neutral
deep,negative
deepen,neutral
deepening,negative
deeply,neutral
deer,neutral
defamation,negative
defamations,negative
defamatory,negative
defame,negative
default,negative
defeating,positive
defeats,positive
defect,negative
defection,negative
defective,negative
defects,negative
defend,positive
defended,positive
defender,positive
defenders,positive
defending,positive
defense,positive
defenseless,negative
defensible,neutral
deference,positive
deferral,negative
defiance,negative
defiant,negative
defiantly,negative
deficiencies,negative
deficiency,negative
deficient,negative
deficit,negative
defile,negative
defiler,negative
define,neutral
defined,neutral
definite,positive
definitely,positive
definition,neutral
definitive,positive
definitively,positive
deflate,negative
deflation,negative
deflationary,positive
deflect,neutral
deflection,neutral
defloration,neutral
deform,negative
deformed,negative
deformity,negative
defraud,negative
defrauding,negative
defray,neutral
defunct,negative
defy,negative
degeneracy,negative
degenerate,negative
degenerately,negative
deginified,positive
degradation,negative
degrade,negative
degraded,negative
degrades,negative
degrading,negative
degradingly,negative
degree,positive
dehumanization,negative
dehumanize,negative
dehumanized,negative
dehumanizes,negative
dehumanizing,negative
dehydrated,neutral
deign,negative
deject,negative
dejected,negative
dejectedly,negative
dejecting,negative
dejection,negative
dejects,negative
delay,negative
delayed,negative
delaying,negative
delays,negative
delectable,positive
delegate,positive
delegation,neutral
deleterious,negative
deletion,negative
deliberate,positive
deliberation,neutral
deliberative,neutral
delicate,positive
delicious,positive
delight,positive
delighted,positive
delightful,positive
delightfully,positive
delightfulness,positive
delighting,positive
delights,positive
delineate,neutral
delineation,neutral
delinquency,negative
delinquent,negative
delirious,negative
delirium,negative
deliverance,positive
delivery,positive
dell,neutral
delta,neutral
delude,negative
deluded,negative
deluge,negative
delusion,negative
delusional,negative
delusions,negative
delve,neutral
demand,negative
demanded,negative
demanding,negative
demands,negative
demean,negative
demeaning,negative
demeanor,neutral
demented,negative
dementia,negative
demise,negative
democracy,positive
democrat,neutral
democratic,positive
demolish,negative
demolisher,negative
demolition,negative
demon,negative
demonic,negative
demonize,negative
demonized,negative
demonizes,negative
demonizing,negative
demonstrable,positive
demonstrate,neutral
demonstrated,neutral
demonstrating,neutral
demonstrative,positive
demonstrator,neutral
demoralize,negative
demoralized,negative
demoralizing,negative
demoralizingly,negative
demos,neutral
demystify,positive
den,neutral
denial,negative
denied,negative
denier,negative
deniers,negative
denies,negative
denigrate,negative
denomination,neutral
denominational,neutral
denominator,neutral
denote,neutral
denounce,negative
denounces,negative
density,neutral
dented,negative
dents,negative
denunciate,negative
denunciation,negative
denunciations,negative
deny,negative
denying,negative
deodorant,neutral
departed,negative
department,neutral
departure,negative
dependable,positive
dependably,positive
dependant,neutral
dependence,negative
dependency,negative
depict,neutral
depicting,neutral
deplete,negative
depletion,neutral
deplorable,negative
deplorably,negative
deplore,negative
deploring,negative
deploringly,negative
deploy,neutral
deport,negative
deportation,negative
deposit,neutral
depositary,neutral
deposition,neutral
depot,neutral
deprave,negative
depraved,negative
depravedly,negative
depravity,negative
deprecate,negative
depreciate,negative
depreciated,negative
depreciation,negative
depress,negative
depressed,negative
depressing,negative
depressingly,negative
depression,negative
depressions,negative
depressive,negative
deprivation,negative
deprive,negative
deprived,negative
depth,positive
derailed,negative
derails,negative
deranged,negative
derelict,negative
deride,negative
derided,negative
derides,negative
deriding,negative
derision,negative
derisive,negative
derisively,negative
derisiveness,negative
derivation,neutral
derivative,neutral
derive,neutral
dermal,neutral
dermatology,neutral
derogation,negative
derogatory,negative
descend,neutral
descendant,neutral
descendent,neutral
descending,neutral
describe,neutral
description,neutral
descriptive,positive
desecrate,negative
desecration,negative
desert,negative
deserted,negative
desertion,negative
deserve,positive
deserved,positive
deservedly,positive
desiccate,negative
desiccated,negative
design,neutral
designate,neutral
designed,neutral
designer,positive
designing,neutral
desirability,neutral
desirable,positive
desire,positive
desired,positive
desiring,positive
desirous,positive
desist,negative
desititute,negative
desk,neutral
desolate,negative
desolately,negative
desolation,negative
despair,negative
despairing,negative
despairingly,negative
despairs,negative
despatch,neutral
desperate,negative
desperately,negative
despicable,negative
despicably,negative
despise,negative
despised,negative
despite,negative
despoil,negative
despoiler,negative
despondence,negative
despondency,negative
despondent,negative
despondently,negative
despot,negative
despotic,negative
despotism,negative
dessert,neutral
destabilisation,negative
destains,negative
destination,positive
destine,positive
destined,positive
destinies,positive
destitute,negative
destitution,negative
destroy,negative
destroyed,negative
destroyer,negative
destroying,negative
destroys,negative
destruction,negative
destructive,negative
desultory,negative
detach,neutral
detachable,positive
detachment,negative
detail,neutral
details,neutral
detain,negative
detained,negative
detainee,negative
detect,positive
detectable,neutral
detection,positive
detective,neutral
detector,neutral
detention,negative
detergent,neutral
deteriorate,negative
deteriorated,negative
deteriorating,negative
deterioration,negative
determinable,neutral
determination,positive
determined,positive
deterrent,negative
detest,negative
detestable,negative
detestably,negative
detested,negative
detesting,negative
detests,negative
detonate,negative
detour,neutral
detract,negative
detracted,negative
detracting,negative
detraction,negative
detracts,negative
detriment,negative
detrimental,negative
detritus,negative
deuce,neutral
devastate,negative
devastated,negative
devastates,negative
devastating,negative
devastatingly,negative
devastation,negative
develop,positive
developing,neutral
development,neutral
deviating,neutral
deviation,negative
device,neutral
devil,negative
devilish,negative
devilishly,negative
devilment,negative
devilry,negative
devious,negative
deviously,negative
deviousness,negative
devise,neutral
devolution,negative
devolve,neutral
devoted,positive
devotion,positive
devotional,positive
devour,negative
devout,positive
dew,neutral
dexter,neutral
dexterity,positive
dexterous,positive
dexterously,positive
dextrose,neutral
dextrous,positive
diabolic,negative
diabolical,negative
diabolically,negative
diagnosis,negative
diagnostic,neutral
diagnostics,neutral
diagram,neutral
dial,neutral
dialect,neutral
dialectic,neutral
dialogue,neutral
diameter,neutral
diametrically,negative
diamond,positive
diamonds,neutral
diaphragm,neutral
diappointed,negative
diary,positive
diatribe,negative
diatribes,negative
dice,neutral
dichotomous,neutral
dichotomy,neutral
dick,negative
dickhead,negative
dictate,neutral
dictation,neutral
dictator,negative
dictatorial,negative
dictatorship,negative
diction,neutral
dictionary,positive
didactic,positive
die,negative
die-hard,negative
died,negative
dies,negative
diet,neutral
dietary,positive
difference,neutral
differences,neutral
differentiation,neutral
differing,neutral
difficult,negative
difficulties,negative
difficulty,negative
diffidence,negative
diffident,negative
diffuse,neutral
diffusion,neutral
digest,neutral
digestion,neutral
dignified,positive
dignify,positive
dignity,positive
digress,negative
digs,neutral
dilapidated,negative
dilatation,neutral
dilation,neutral
diligence,positive
diligently,positive
dilly-dally,negative
diluent,neutral
dilute,negative
diluted,neutral
dilution,neutral
dim,negative
dime,neutral
dimension,neutral
diminish,negative
diminished,negative
diminishing,negative
diminution,neutral
diminutive,neutral
dimmer,negative
din,negative
dine,neutral
diner,neutral
ding,negative
dings,negative
dinky,negative
dinner,positive
dint,neutral
diocesan,neutral
diocese,neutral
diorama,neutral
dip,neutral
diploma,neutral
diplomat,neutral
diplomatic,positive
dipshit,negative
dire,negative
direct,neutral
directed,neutral
direction,neutral
directly,neutral
director,positive
directory,neutral
direful,negative
direly,negative
direness,negative
dirt,negative
dirt-cheap,positive
dirtbag,negative
dirtbags,negative
dirtier,negative
dirtiest,negative
dirts,negative
dirty,negative
disability,negative
disable,negative
disabled,negative
disabling,negative
disaccord,negative
disadvantaged,negative
disadvantageous,negative
disadvantages,negative
disaffect,negative
disaffected,negative
disaffirm,negative
disagree,negative
disagreeably,negative
disagreed,negative
disagreeing,negative
disagreement,negative
disagrees,negative
disallowed,negative
disapointed,negative
disapointing,negative
disapointment,negative
disappear,negative
disappearance,neutral
disappeared,negative
disappearing,neutral
disappears,negative
disappoint,negative
disappointed,negative
disappointing,negative
disappointingly,negative
disappointment,negative
disappointments,negative
disappoints,negative
disapprobation,negative
disapproval,negative
disapprove,negative
disapproved,negative
disapproving,negative
disaster,negative
disasterous,negative
disasters,negative
disastrous,negative
disastrously,negative
disavow,negative
disavowal,negative
disband,neutral
disbelieve,negative
disbeliever,negative
disburse,neutral
disbursement,neutral
disc,neutral
discard,negative
discarding,negative
discards,negative
discern,neutral
discernible,neutral
discernment,neutral
discharge,negative
discipline,negative
disclaim,negative
disclaimer,neutral
disclose,neutral
disclosure,neutral
discoloration,negative
discolored,negative
discombobulate,negative
discomfit,negative
discomfititure,negative
discomfort,negative
discompose,negative
disconcert,negative
disconcerted,negative
disconcerting,negative
disconcertingly,negative
disconnect,negative
disconnected,negative
disconnection,negative
disconsolate,negative
disconsolately,negative
disconsolation,negative
discontent,negative
discontented,negative
discontentedly,negative
discontinuance,neutral
discontinue,negative
discontinued,negative
discontinuity,negative
discord,negative
discordance,negative
discordant,negative
discount,neutral
discountenance,negative
discourage,negative
discouragement,negative
discouraging,negative
discouragingly,negative
discourse,neutral
discourteous,negative
discourteously,negative
discoutinous,negative
discover,neutral
discovery,positive
discredit,negative
discredited,negative
discreet,positive
discrepancy,neutral
discrepant,negative
discrete,neutral
discretion,positive
discretionary,positive
discriminate,negative
discriminatingly,positive
discrimination,negative
discriminatory,negative
discus,neutral
discuss,neutral
discussion,positive
disdain,negative
disdained,negative
disdainful,negative
disdainfully,negative
disease,negative
diseased,negative
disembodied,negative
disengage,neutral
disengagement,negative
disfavor,negative
disfigured,negative
disgrace,negative
disgraced,negative
disgraceful,negative
disgracefully,negative
disgruntle,negative
disgruntled,negative
disguises,negative
disguising,negative
disgust,negative
disgusted,negative
disgustedly,negative
disgustful,negative
disgustfully,negative
disgusting,negative
disgustingly,negative
dish,neutral
dishearten,negative
disheartened,negative
disheartening,negative
dishearteningly,negative
dishonest,negative
dishonestly,negative
dishonesty,negative
dishonor,negative
dishonorable,negative
dishonorablely,negative
disillusion,negative
disillusioned,negative
disillusionment,negative
disillusions,negative
disinclination,negative
disinclined,negative
disinfect,neutral
disinfectant,neutral
disinfection,positive
disinformation,negative
disingenuous,negative
disingenuously,negative
disintegrate,negative
disintegrated,negative
disintegrates,negative
disintegration,negative
disinterest,negative
disinterested,negative
disjoint,neutral
disjunctive,neutral
disk,neutral
diskette,neutral
dislike,negative
disliked,negative
dislikes,negative
disliking,negative
dislocated,negative
dislocation,neutral
dislodge,neutral
disloyal,negative
disloyalty,negative
dismal,negative
dismally,negative
dismalness,negative
dismay,negative
dismayed,negative
dismaying,negative
dismayingly,negative
dismemberment,negative
dismiss,neutral
dismissal,negative
dismissive,negative
dismissively,negative
dismount,neutral
disobedience,negative
disobedient,negative
disobey,negative
disoobedient,negative
disorder,negative
disordered,negative
disorderly,negative
disorganized,negative
disorient,negative
disoriented,negative
disown,negative
disparage,negative
